previous,timestep,next
17.24|18.19|19.22|20.11|20.26,0,6
18.19|19.22|20.11|20.26|22.2,1,6
19.22|20.11|20.26|22.2|22.44,2,5
20.11|20.26|22.2|22.44|20.05,3,6
20.26|22.2|22.44|20.05|24.64,4,7
22.2|22.44|20.05|24.64|26.34,5,6
22.44|20.05|24.64|26.34|24.18,6,6
20.05|24.64|26.34|24.18|24.16,7,6
24.64|26.34|24.18|24.16|24.34,8,6
26.34|24.18|24.16|24.34|22.5,9,7
24.18|24.16|24.34|22.5|26.7,10,6
24.16|24.34|22.5|26.7|24.72,11,6
24.34|22.5|26.7|24.72|25.39,12,6
22.5|26.7|24.72|25.39|25.63,13,7
26.7|24.72|25.39|25.63|26.28,14,7
24.72|25.39|25.63|26.28|26.44,15,7
25.39|25.63|26.28|26.44|27.25,16,6
25.63|26.28|26.44|27.25|25.36,17,6
26.28|26.44|27.25|25.36|24.87,18,6
26.44|27.25|25.36|24.87|24.32,19,6
27.25|25.36|24.87|24.32|24.54,20,6
25.36|24.87|24.32|24.54|24.69,21,6
24.87|24.32|24.54|24.69|24.29,22,6
24.32|24.54|24.69|24.29|23.77,23,6
24.54|24.69|24.29|23.77|23.69,24,6
24.69|24.29|23.77|23.69|24.38,25,6
24.29|23.77|23.69|24.38|23.76,26,6
23.77|23.69|24.38|23.76|22.05,27,5
23.69|24.38|23.76|22.05|19.71,28,5
24.38|23.76|22.05|19.71|20.78,29,6
23.76|22.05|19.71|20.78|22.78,30,6
22.05|19.71|20.78|22.78|23.89,31,6
19.71|20.78|22.78|23.89|22.54,32,6
20.78|22.78|23.89|22.54|23.69,33,6
22.78|23.89|22.54|23.69|23.56,34,6
23.89|22.54|23.69|23.56|22.69,35,6
22.54|23.69|23.56|22.69|21.99,36,6
23.69|23.56|22.69|21.99|21.9,37,5
23.56|22.69|21.99|21.9|21.34,38,6
22.69|21.99|21.9|21.34|22.03,39,5
21.99|21.9|21.34|22.03|20.55,40,5
21.9|21.34|22.03|20.55|19.1,41,5
21.34|22.03|20.55|19.1|19.74,42,5
22.03|20.55|19.1|19.74|20.3,43,5
20.55|19.1|19.74|20.3|20.07,44,5
19.1|19.74|20.3|20.07|21.05,45,5
19.74|20.3|20.07|21.05|19.65,46,5
20.3|20.07|21.05|19.65|18.81,47,4
20.07|21.05|19.65|18.81|17.62,48,4
21.05|19.65|18.81|17.62|18.29,49,5
19.65|18.81|17.62|18.29|19.06,50,5
18.81|17.62|18.29|19.06|20.1,51,6
17.62|18.29|19.06|20.1|22.74,52,5
18.29|19.06|20.1|22.74|20.46,53,5
19.06|20.1|22.74|20.46|19.59,54,5
20.1|22.74|20.46|19.59|21.01,55,5
22.74|20.46|19.59|21.01|19.77,56,4
20.46|19.59|21.01|19.77|18.46,57,5
19.59|21.01|19.77|18.46|19.73,58,6
21.01|19.77|18.46|19.73|22.84,59,5
19.77|18.46|19.73|22.84|20.44,60,6
18.46|19.73|22.84|20.44|22.03,61,5
19.73|22.84|20.44|22.03|21.21,62,6
22.84|20.44|22.03|21.21|21.76,63,6
20.44|22.03|21.21|21.76|22.3,64,6
22.03|21.21|21.76|22.3|21.69,65,4
21.21|21.76|22.3|21.69|17.73,66,5
21.76|22.3|21.69|17.73|19.8,67,5
22.3|21.69|17.73|19.8|20.75,68,5
21.69|17.73|19.8|20.75|20.38,69,6
17.73|19.8|20.75|20.38|22.67,70,6
19.8|20.75|20.38|22.67|22.46,71,6
20.75|20.38|22.67|22.46|23.33,72,6
20.38|22.67|22.46|23.33|24.16,73,6
22.67|22.46|23.33|24.16|21.7,74,5
22.46|23.33|24.16|21.7|20.86,75,5
23.33|24.16|21.7|20.86|20.25,76,6
24.16|21.7|20.86|20.25|22.19,77,5
21.7|20.86|20.25|22.19|19.52,78,4
20.86|20.25|22.19|19.52|18.43,79,5
20.25|22.19|19.52|18.43|19.32,80,4
22.19|19.52|18.43|19.32|17.81,81,4
19.52|18.43|19.32|17.81|17.28,82,4
18.43|19.32|17.81|17.28|17.65,83,4
19.32|17.81|17.28|17.65|18.49,84,4
17.81|17.28|17.65|18.49|18.64,85,4
17.28|17.65|18.49|18.64|18.59,86,5
17.65|18.49|18.64|18.59|19.81,87,5
18.49|18.64|18.59|19.81|20.14,88,5
18.64|18.59|19.81|20.14|19.49,89,4
18.59|19.81|20.14|19.49|17.71,90,4
19.81|20.14|19.49|17.71|17.27,91,4
20.14|19.49|17.71|17.27|17.2,92,4
19.49|17.71|17.27|17.2|16.72,93,4
17.71|17.27|17.2|16.72|17.84,94,4
17.27|17.2|16.72|17.84|17.18,95,4
17.2|16.72|17.84|17.18|17.7,96,4
16.72|17.84|17.18|17.7|17.32,97,5
17.84|17.18|17.7|17.32|18.75,98,4
17.18|17.7|17.32|18.75|17.44,99,4
17.7|17.32|18.75|17.44|17.37,100,4
17.32|18.75|17.44|17.37|17.09,101,4
18.75|17.44|17.37|17.09|18.39,102,5
17.44|17.37|17.09|18.39|18.97,103,4
17.37|17.09|18.39|18.97|17.42,104,4
17.09|18.39|18.97|17.42|16.88,105,4
18.39|18.97|17.42|16.88|17.58,106,4
18.97|17.42|16.88|17.58|16.34,107,4
17.42|16.88|17.58|16.34|16.6,108,4
16.88|17.58|16.34|16.6|17.38,109,4
17.58|16.34|16.6|17.38|17.4,110,3
16.34|16.6|17.38|17.4|15.9,111,4
16.6|17.38|17.4|15.9|17.71,112,3
17.38|17.4|15.9|17.71|15.23,113,3
17.4|15.9|17.71|15.23|15.27,114,3
15.9|17.71|15.23|15.27|14.72,115,5
17.71|15.23|15.27|14.72|19.36,116,4
15.23|15.27|14.72|19.36|17.06,117,4
15.27|14.72|19.36|17.06|16.29,118,3
14.72|19.36|17.06|16.29|16,119,3
19.36|17.06|16.29|16|16.18,120,3
17.06|16.29|16|16.18|15.5,121,4
16.29|16|16.18|15.5|16.26,122,3
16|16.18|15.5|16.26|16.11,123,4
16.18|15.5|16.26|16.11|17.25,124,4
15.5|16.26|16.11|17.25|16.41,125,4
16.26|16.11|17.25|16.41|16.66,126,4
16.11|17.25|16.41|16.66|16.92,127,4
17.25|16.41|16.66|16.92|16.68,128,4
16.41|16.66|16.92|16.68|17.06,129,4
16.66|16.92|16.68|17.06|17.09,130,4
16.92|16.68|17.06|17.09|16.75,131,4
16.68|17.06|17.09|16.75|16.66,132,5
17.06|17.09|16.75|16.66|18.9,133,4
17.09|16.75|16.66|18.9|18.56,134,3
16.75|16.66|18.9|18.56|15.63,135,6
16.66|18.9|18.56|15.63|23.68,136,6
18.9|18.56|15.63|23.68|21.79,137,5
18.56|15.63|23.68|21.79|20.19,138,5
15.63|23.68|21.79|20.19|20.26,139,5
23.68|21.79|20.19|20.26|21.12,140,5
21.79|20.19|20.26|21.12|21.16,141,5
20.19|20.26|21.12|21.16|21.11,142,5
20.26|21.12|21.16|21.11|21.64,143,5
21.12|21.16|21.11|21.64|20.43,144,7
21.16|21.11|21.64|20.43|28.74,145,7
21.11|21.64|20.43|28.74|35.91,146,7
21.64|20.43|28.74|35.91|32.75,147,7
20.43|28.74|35.91|32.75|28.27,148,6
28.74|35.91|32.75|28.27|24.39,149,7
35.91|32.75|28.27|24.39|25.75,150,6
32.75|28.27|24.39|25.75|25.74,151,6
28.27|24.39|25.75|25.74|24.18,152,6
24.39|25.75|25.74|24.18|23.31,153,7
25.75|25.74|24.18|23.31|27.16,154,7
25.74|24.18|23.31|27.16|27.53,155,7
24.18|23.31|27.16|27.53|26.46,156,7
23.31|27.16|27.53|26.46|28.9,157,7
27.16|27.53|26.46|28.9|30.55,158,7
27.53|26.46|28.9|30.55|36.47,159,7
26.46|28.9|30.55|36.47|33.93,160,7
28.9|30.55|36.47|33.93|29.63,161,7
30.55|36.47|33.93|29.63|29.12,162,7
36.47|33.93|29.63|29.12|27.38,163,7
33.93|29.63|29.12|27.38|29.89,164,7
29.63|29.12|27.38|29.89|29.9,165,7
29.12|27.38|29.89|29.9|29.58,166,7
27.38|29.89|29.9|29.58|28.52,167,7
29.89|29.9|29.58|28.52|30.19,168,7
29.9|29.58|28.52|30.19|28.73,169,7
29.58|28.52|30.19|28.73|29.34,170,7
28.52|30.19|28.73|29.34|28.38,171,7
30.19|28.73|29.34|28.38|28.12,172,7
28.73|29.34|28.38|28.12|29.33,173,7
29.34|28.38|28.12|29.33|30.56,174,7
28.38|28.12|29.33|30.56|29.55,175,7
28.12|29.33|30.56|29.55|28.82,176,7
29.33|30.56|29.55|28.82|27.88,177,7
30.56|29.55|28.82|27.88|28.66,178,7
29.55|28.82|27.88|28.66|30.04,179,7
28.82|27.88|28.66|30.04|30.56,180,7
27.88|28.66|30.04|30.56|28.81,181,7
28.66|30.04|30.56|28.81|28.19,182,7
30.04|30.56|28.81|28.19|28.67,183,7
30.56|28.81|28.19|28.67|29.11,184,7
28.81|28.19|28.67|29.11|28.06,185,7
28.19|28.67|29.11|28.06|27.28,186,7
28.67|29.11|28.06|27.28|27.9,187,7
29.11|28.06|27.28|27.9|27.51,188,7
28.06|27.28|27.9|27.51|27.85,189,7
27.28|27.9|27.51|27.85|28.04,190,7
27.9|27.51|27.85|28.04|30.71,191,7
27.51|27.85|28.04|30.71|31.19,192,7
27.85|28.04|30.71|31.19|33.98,193,7
28.04|30.71|31.19|33.98|31.94,194,7
30.71|31.19|33.98|31.94|31.64,195,7
31.19|33.98|31.94|31.64|31.45,196,7
33.98|31.94|31.64|31.45|31.37,197,7
31.94|31.64|31.45|31.37|29.6,198,7
31.64|31.45|31.37|29.6|27.86,199,7
31.45|31.37|29.6|27.86|27.27,200,7
31.37|29.6|27.86|27.27|27.57,201,7
29.6|27.86|27.27|27.57|28.28,202,7
27.86|27.27|27.57|28.28|29.04,203,7
27.27|27.57|28.28|29.04|30.75,204,7
27.57|28.28|29.04|30.75|31.54,205,7
28.28|29.04|30.75|31.54|30.52,206,7
29.04|30.75|31.54|30.52|30.04,207,7
30.75|31.54|30.52|30.04|30.25,208,7
31.54|30.52|30.04|30.25|30.03,209,7
30.52|30.04|30.25|30.03|29.85,210,7
30.04|30.25|30.03|29.85|29.11,211,7
30.25|30.03|29.85|29.11|30.87,212,7
30.03|29.85|29.11|30.87|30.79,213,7
29.85|29.11|30.87|30.79|26.96,214,6
29.11|30.87|30.79|26.96|25.6,215,6
30.87|30.79|26.96|25.6|24.58,216,6
30.79|26.96|25.6|24.58|22.89,217,6
26.96|25.6|24.58|22.89|22.57,218,5
25.6|24.58|22.89|22.57|21.34,219,5
24.58|22.89|22.57|21.34|20.95,220,5
22.89|22.57|21.34|20.95|20.09,221,5
22.57|21.34|20.95|20.09|21.09,222,5
21.34|20.95|20.09|21.09|20.98,223,6
20.95|20.09|21.09|20.98|22.76,224,6
20.09|21.09|20.98|22.76|22.86,225,6
21.09|20.98|22.76|22.86|22.96,226,6
20.98|22.76|22.86|22.96|23.91,227,6
22.76|22.86|22.96|23.91|22.16,228,6
22.86|22.96|23.91|22.16|22.29,229,6
22.96|23.91|22.16|22.29|22.03,230,5
23.91|22.16|22.29|22.03|20.94,231,6
22.16|22.29|22.03|20.94|22.62,232,6
22.29|22.03|20.94|22.62|22.59,233,6
22.03|20.94|22.62|22.59|23.58,234,6
20.94|22.62|22.59|23.58|23.75,235,5
22.62|22.59|23.58|23.75|21.28,236,6
22.59|23.58|23.75|21.28|23.05,237,6
23.58|23.75|21.28|23.05|23.85,238,6
23.75|21.28|23.05|23.85|24.85,239,6
21.28|23.05|23.85|24.85|23.11,240,6
23.05|23.85|24.85|23.11|23.08,241,6
23.85|24.85|23.11|23.08|23.13,242,6
24.85|23.11|23.08|23.13|22.66,243,6
23.11|23.08|23.13|22.66|24.03,244,6
23.08|23.13|22.66|24.03|24.18,245,6
23.13|22.66|24.03|24.18|24.81,246,6
22.66|24.03|24.18|24.81|25.05,247,7
24.03|24.18|24.81|25.05|26.38,248,7
24.18|24.81|25.05|26.38|26.62,249,7
24.81|25.05|26.38|26.62|27.93,250,7
25.05|26.38|26.62|27.93|27.19,251,7
26.38|26.62|27.93|27.19|28.95,252,7
26.62|27.93|27.19|28.95|30.38,253,7
27.93|27.19|28.95|30.38|33.3,254,7
27.19|28.95|30.38|33.3|31.33,255,7
28.95|30.38|33.3|31.33|32.63,256,7
30.38|33.3|31.33|32.63|36.2,257,7
33.3|31.33|32.63|36.2|36.16,258,7
31.33|32.63|36.2|36.16|33.2,259,7
32.63|36.2|36.16|33.2|27.45,260,6
36.2|36.16|33.2|27.45|25.39,261,6
36.16|33.2|27.45|25.39|24.33,262,6
33.2|27.45|25.39|24.33|24.9,263,6
27.45|25.39|24.33|24.9|23.92,264,6
25.39|24.33|24.9|23.92|22.86,265,6
24.33|24.9|23.92|22.86|22.2,266,6
24.9|23.92|22.86|22.2|23.05,267,6
23.92|22.86|22.2|23.05|23.17,268,5
22.86|22.2|23.05|23.17|21.37,269,5
22.2|23.05|23.17|21.37|20.91,270,5
23.05|23.17|21.37|20.91|21.04,271,6
23.17|21.37|20.91|21.04|21.86,272,5
21.37|20.91|21.04|21.86|21.46,273,6
20.91|21.04|21.86|21.46|22.68,274,6
21.04|21.86|21.46|22.68|23.6,275,6
21.86|21.46|22.68|23.6|23.38,276,6
21.46|22.68|23.6|23.38|22.56,277,6
22.68|23.6|23.38|22.56|22.26,278,5
23.6|23.38|22.56|22.26|20.86,279,5
23.38|22.56|22.26|20.86|21.48,280,5
22.56|22.26|20.86|21.48|19.57,281,5
22.26|20.86|21.48|19.57|19.84,282,6
20.86|21.48|19.57|19.84|22.26,283,5
21.48|19.57|19.84|22.26|20.78,284,5
19.57|19.84|22.26|20.78|21.01,285,6
19.84|22.26|20.78|21.01|22.86,286,5
22.26|20.78|21.01|22.86|20.38,287,5
20.78|21.01|22.86|20.38|21.26,288,5
21.01|22.86|20.38|21.26|21.23,289,5
22.86|20.38|21.26|21.23|20.86,290,5
20.38|21.26|21.23|20.86|20.45,291,5
21.26|21.23|20.86|20.45|20.55,292,5
21.23|20.86|20.45|20.55|21.05,293,5
20.86|20.45|20.55|21.05|20.81,294,5
20.45|20.55|21.05|20.81|20.88,295,5
20.55|21.05|20.81|20.88|18.82,296,3
21.05|20.81|20.88|18.82|16.09,297,3
20.81|20.88|18.82|16.09|14.94,298,3
20.88|18.82|16.09|14.94|14.9,299,3
18.82|16.09|14.94|14.9|15.79,300,3
16.09|14.94|14.9|15.79|16.11,301,3
14.94|14.9|15.79|16.11|16.04,302,4
14.9|15.79|16.11|16.04|16.86,303,4
15.79|16.11|16.04|16.86|16.49,304,4
16.11|16.04|16.86|16.49|16.76,305,4
16.04|16.86|16.49|16.76|16.31,306,4
16.86|16.49|16.76|16.31|16.55,307,4
16.49|16.76|16.31|16.55|16.88,308,4
16.76|16.31|16.55|16.88|17.42,309,4
16.31|16.55|16.88|17.42|17.4,310,4
16.55|16.88|17.42|17.4|17.61,311,4
16.88|17.42|17.4|17.61|18.01,312,4
17.42|17.4|17.61|18.01|17.63,313,4
17.4|17.61|18.01|17.63|17.41,314,5
17.61|18.01|17.63|17.41|20.12,315,5
18.01|17.63|17.41|20.12|19.73,316,4
17.63|17.41|20.12|19.73|17.24,317,4
17.41|20.12|19.73|17.24|18.45,318,4
20.12|19.73|17.24|18.45|16.5,319,3
19.73|17.24|18.45|16.5|15.82,320,3
17.24|18.45|16.5|15.82|15.47,321,4
18.45|16.5|15.82|15.47|16.26,322,3
16.5|15.82|15.47|16.26|15.68,323,4
15.82|15.47|16.26|15.68|16.78,324,4
15.47|16.26|15.68|16.78|17.02,325,4
16.26|15.68|16.78|17.02|16.72,326,4
15.68|16.78|17.02|16.72|17.15,327,4
16.78|17.02|16.72|17.15|17.27,328,4
17.02|16.72|17.15|17.27|18.27,329,4
16.72|17.15|17.27|18.27|18.24,330,4
17.15|17.27|18.27|18.24|17.77,331,4
17.27|18.27|18.24|17.77|17.52,332,4
18.27|18.24|17.77|17.52|17.24,333,4
18.24|17.77|17.52|17.24|17.92,334,4
17.77|17.52|17.24|17.92|17.46,335,4
17.52|17.24|17.92|17.46|17.78,336,4
17.24|17.92|17.46|17.78|17.17,337,4
17.92|17.46|17.78|17.17|17.54,338,4
17.46|17.78|17.17|17.54|17.66,339,4
17.78|17.17|17.54|17.66|18,340,4
17.17|17.54|17.66|18|18.38,341,4
17.54|17.66|18|18.38|17.24,342,4
17.66|18|18.38|17.24|16.64,343,4
18|18.38|17.24|16.64|17.1,344,3
18.38|17.24|16.64|17.1|16.07,345,3
17.24|16.64|17.1|16.07|16.16,346,3
16.64|17.1|16.07|16.16|16.11,347,3
17.1|16.07|16.16|16.11|15.23,348,3
16.07|16.16|16.11|15.23|15.67,349,3
16.16|16.11|15.23|15.67|15.9,350,3
16.11|15.23|15.67|15.9|16.02,351,3
15.23|15.67|15.9|16.02|15.93,352,4
15.67|15.9|16.02|15.93|16.87,353,3
15.9|16.02|15.93|16.87|16.17,354,4
16.02|15.93|16.87|16.17|16.4,355,4
15.93|16.87|16.17|16.4|16.93,356,4
16.87|16.17|16.4|16.93|16.98,357,4
16.17|16.4|16.93|16.98|17.47,358,4
