previous,next
19.004,6
19.996,6
20.846,5
21.012,6
21.918,7
23.134,6
23.53,6
23.874,6
24.732,6
24.304,7
24.376,6
24.484,6
24.73,6
24.988,7
25.744,7
25.692,7
26.198,6
26.192,6
26.04,6
25.648,6
25.268,6
24.756,6
24.542,6
24.322,6
24.196,6
24.164,6
23.978,6
23.53,5
22.718,5
22.136,6
21.816,6
21.842,6
21.94,6
22.736,6
23.292,6
23.274,6
22.894,6
22.766,5
22.296,6
21.99,5
21.562,5
20.984,5
20.552,5
20.344,5
19.952,5
20.052,5
20.162,5
19.976,4
19.44,4
19.084,5
18.686,5
18.776,6
19.562,5
20.13,5
20.39,5
20.78,5
20.714,4
19.858,5
19.712,6
20.362,5
20.248,6
20.7,5
21.25,6
21.656,6
21.548,6
21.798,4
20.938,5
20.656,5
20.454,5
20.07,6
20.266,6
21.212,6
21.918,6
22.6,6
22.864,5
22.502,5
22.06,6
21.832,5
20.904,4
20.25,5
19.942,4
19.454,4
18.472,4
18.098,4
18.11,4
17.974,4
18.13,5
18.636,5
19.134,5
19.334,4
19.148,4
18.884,4
18.362,4
17.678,4
17.348,4
17.242,4
17.328,4
17.352,5
17.758,4
17.678,4
17.716,4
17.594,4
17.808,5
17.852,4
17.848,4
17.75,4
17.848,4
17.438,4
16.964,4
16.956,4
17.06,3
16.724,4
16.998,3
16.724,3
16.302,3
15.766,5
16.458,4
16.328,4
16.54,3
16.686,3
16.978,3
16.206,4
16.046,3
16.01,4
16.26,4
16.306,4
16.538,4
16.67,4
16.784,4
16.746,4
16.882,4
16.9,4
16.848,5
17.292,4
17.592,3
17.3,6
18.686,6
19.712,5
19.97,5
20.31,5
21.408,5
20.904,5
20.768,5
21.058,5
21.092,7
22.616,7
25.566,7
27.894,7
29.22,6
30.012,7
29.414,6
27.38,6
25.666,6
24.674,7
25.228,7
25.584,7
25.728,7
26.672,7
28.12,7
29.982,7
31.262,7
31.896,7
31.94,7
31.306,7
29.99,7
29.184,7
29.174,7
29.054,7
29.616,7
29.384,7
29.272,7
29.032,7
28.952,7
28.78,7
29.146,7
29.188,7
29.276,7
29.228,7
29.094,7
28.99,7
29.192,7
29.19,7
29.252,7
29.254,7
29.068,7
28.568,7
28.262,7
28.204,7
27.972,7
27.72,7
27.716,7
28.402,7
29.06,7
30.354,7
31.172,7
31.892,7
32.04,7
32.076,7
31.2,7
30.384,7
29.51,7
28.734,7
28.116,7
28.004,7
28.582,7
29.436,7
30.026,7
30.378,7
30.62,7
30.476,7
30.138,7
29.856,7
30.022,7
30.13,7
29.516,6
28.666,6
27.76,6
26.164,6
24.52,5
23.396,5
22.466,5
21.568,5
21.208,5
20.89,6
21.174,6
21.556,6
22.13,6
22.694,6
22.93,6
22.836,6
22.67,5
22.266,6
22.008,6
22.094,6
22.352,6
22.696,5
22.764,6
22.85,6
23.102,6
23.356,6
23.228,6
23.588,6
23.604,6
23.366,6
23.202,6
23.416,6
23.762,6
24.146,7
24.89,7
25.408,7
26.158,7
26.634,7
27.414,7
28.214,7
29.55,7
30.23,7
31.318,7
32.768,7
33.924,7
33.904,7
33.128,6
31.68,6
29.306,6
27.054,6
25.198,6
24.28,6
23.642,6
23.386,6
23.04,5
22.53,5
22.14,5
21.908,6
21.67,5
21.328,6
21.59,6
22.128,6
22.596,6
22.736,6
22.896,5
22.532,5
22.108,5
21.346,5
20.802,6
20.802,5
20.786,5
20.692,6
21.35,5
21.458,5
21.258,5
21.348,5
21.318,5
20.836,5
20.87,5
20.828,5
20.744,5
20.748,5
20.422,3
19.53,3
18.308,3
17.126,3
16.108,3
15.566,3
15.556,4
15.94,4
16.258,4
16.452,4
16.492,4
16.594,4
16.598,4
16.784,4
16.912,4
17.172,4
17.464,4
17.614,4
17.612,5
18.156,5
18.58,4
18.426,4
18.59,4
18.408,3
17.548,3
16.696,4
16.5,3
