p1,p2,p3,n1,n2,n3
0.060113,0.053734,0.054831,0.060602,0.064208,0.051853
0.053734,0.054831,0.060602,0.064208,0.051853,0.054553
0.054831,0.060602,0.064208,0.051853,0.054553,0.05088
0.060602,0.064208,0.051853,0.054553,0.05088,0.047219
0.064208,0.051853,0.054553,0.05088,0.047219,0.042728
0.051853,0.054553,0.05088,0.047219,0.042728,0.050588
0.054553,0.05088,0.047219,0.042728,0.050588,0.047631
0.05088,0.047219,0.042728,0.050588,0.047631,0.050168
0.047219,0.042728,0.050588,0.047631,0.050168,0.051988
0.042728,0.050588,0.047631,0.050168,0.051988,0.065309
0.050588,0.047631,0.050168,0.051988,0.065309,0.053259
0.047631,0.050168,0.051988,0.065309,0.053259,0.04864
0.050168,0.051988,0.065309,0.053259,0.04864,0.054555
0.051988,0.065309,0.053259,0.04864,0.054555,0.055033
0.065309,0.053259,0.04864,0.054555,0.055033,0.061285
0.053259,0.04864,0.054555,0.055033,0.061285,0.045985
0.04864,0.054555,0.055033,0.061285,0.045985,0.044533
0.054555,0.055033,0.061285,0.045985,0.044533,0.045918
0.055033,0.061285,0.045985,0.044533,0.045918,0.042224
0.061285,0.045985,0.044533,0.045918,0.042224,0.041893
0.045985,0.044533,0.045918,0.042224,0.041893,0.04074
0.044533,0.045918,0.042224,0.041893,0.04074,0.042019
0.045918,0.042224,0.041893,0.04074,0.042019,0.047883
0.042224,0.041893,0.04074,0.042019,0.047883,0.044885
0.041893,0.04074,0.042019,0.047883,0.044885,0.040812
0.04074,0.042019,0.047883,0.044885,0.040812,0.050261
0.042019,0.047883,0.044885,0.040812,0.050261,0.051577
0.047883,0.044885,0.040812,0.050261,0.051577,0.04937
0.044885,0.040812,0.050261,0.051577,0.04937,0.050159
0.040812,0.050261,0.051577,0.04937,0.050159,0.050478
0.050261,0.051577,0.04937,0.050159,0.050478,0.053091
0.051577,0.04937,0.050159,0.050478,0.053091,0.054768
0.04937,0.050159,0.050478,0.053091,0.054768,0.052087
0.050159,0.050478,0.053091,0.054768,0.052087,0.058638
0.050478,0.053091,0.054768,0.052087,0.058638,0.047859
0.053091,0.054768,0.052087,0.058638,0.047859,0.05261
0.054768,0.052087,0.058638,0.047859,0.05261,0.059494
0.052087,0.058638,0.047859,0.05261,0.059494,0.048451
0.058638,0.047859,0.05261,0.059494,0.048451,0.055994
0.047859,0.05261,0.059494,0.048451,0.055994,0.07159
0.05261,0.059494,0.048451,0.055994,0.07159,0.069795
0.059494,0.048451,0.055994,0.07159,0.069795,0.059297
0.048451,0.055994,0.07159,0.069795,0.059297,0.056138
0.055994,0.07159,0.069795,0.059297,0.056138,0.05968
0.07159,0.069795,0.059297,0.056138,0.05968,0.071328
0.069795,0.059297,0.056138,0.05968,0.071328,0.080725
0.059297,0.056138,0.05968,0.071328,0.080725,0.087848
0.056138,0.05968,0.071328,0.080725,0.087848,0.05602
0.05968,0.071328,0.080725,0.087848,0.05602,0.055605
0.071328,0.080725,0.087848,0.05602,0.055605,0.070235
0.080725,0.087848,0.05602,0.055605,0.070235,0.04984
0.087848,0.05602,0.055605,0.070235,0.04984,0.051078
0.05602,0.055605,0.070235,0.04984,0.051078,0.051843
0.055605,0.070235,0.04984,0.051078,0.051843,0.046298
0.070235,0.04984,0.051078,0.051843,0.046298,0.047816
0.04984,0.051078,0.051843,0.046298,0.047816,0.061531
0.051078,0.051843,0.046298,0.047816,0.061531,0.06996
0.051843,0.046298,0.047816,0.061531,0.06996,0.067287
0.046298,0.047816,0.061531,0.06996,0.067287,0.074948
0.047816,0.061531,0.06996,0.067287,0.074948,0.12843
0.061531,0.06996,0.067287,0.074948,0.12843,0.074796
0.06996,0.067287,0.074948,0.12843,0.074796,0.053003
0.067287,0.074948,0.12843,0.074796,0.053003,0.052262
0.074948,0.12843,0.074796,0.053003,0.052262,0.06547
0.12843,0.074796,0.053003,0.052262,0.06547,0.057169
0.074796,0.053003,0.052262,0.06547,0.057169,0.067128
0.053003,0.052262,0.06547,0.057169,0.067128,0.064924
0.052262,0.06547,0.057169,0.067128,0.064924,0.093565
0.06547,0.057169,0.067128,0.064924,0.093565,0.092535
0.057169,0.067128,0.064924,0.093565,0.092535,0.073717
0.067128,0.064924,0.093565,0.092535,0.073717,0.056814
0.064924,0.093565,0.092535,0.073717,0.056814,0.052686
0.093565,0.092535,0.073717,0.056814,0.052686,0.057869
0.092535,0.073717,0.056814,0.052686,0.057869,0.060468
0.073717,0.056814,0.052686,0.057869,0.060468,0.05578
0.056814,0.052686,0.057869,0.060468,0.05578,0.06719
0.052686,0.057869,0.060468,0.05578,0.06719,0.04797
0.057869,0.060468,0.05578,0.06719,0.04797,0.049294
0.060468,0.05578,0.06719,0.04797,0.049294,0.049717
0.05578,0.06719,0.04797,0.049294,0.049717,0.052925
0.06719,0.04797,0.049294,0.049717,0.052925,0.04513
0.04797,0.049294,0.049717,0.052925,0.04513,0.043373
0.049294,0.049717,0.052925,0.04513,0.043373,0.04477
0.049717,0.052925,0.04513,0.043373,0.04477,0.049264
0.052925,0.04513,0.043373,0.04477,0.049264,0.050085
0.04513,0.043373,0.04477,0.049264,0.050085,0.048557
0.043373,0.04477,0.049264,0.050085,0.048557,0.042966
0.04477,0.049264,0.050085,0.048557,0.042966,0.05474
0.049264,0.050085,0.048557,0.042966,0.05474,0.044352
0.050085,0.048557,0.042966,0.05474,0.044352,0.038892
0.048557,0.042966,0.05474,0.044352,0.038892,0.040338
0.042966,0.05474,0.044352,0.038892,0.040338,0.044749
0.05474,0.044352,0.038892,0.040338,0.044749,0.06223
0.044352,0.038892,0.040338,0.044749,0.06223,0.053971
0.038892,0.040338,0.044749,0.06223,0.053971,0.063104
0.040338,0.044749,0.06223,0.053971,0.063104,0.056595
0.044749,0.06223,0.053971,0.063104,0.056595,0.042046
0.06223,0.053971,0.063104,0.056595,0.042046,0.052576
0.053971,0.063104,0.056595,0.042046,0.052576,0.04021
0.063104,0.056595,0.042046,0.052576,0.04021,0.047206
0.056595,0.042046,0.052576,0.04021,0.047206,0.045849
0.042046,0.052576,0.04021,0.047206,0.045849,0.04345
0.052576,0.04021,0.047206,0.045849,0.04345,0.04619
0.04021,0.047206,0.045849,0.04345,0.04619,0.044685
0.047206,0.045849,0.04345,0.04619,0.044685,0.038368
0.045849,0.04345,0.04619,0.044685,0.038368,0.036065
0.04345,0.04619,0.044685,0.038368,0.036065,0.03969
0.04619,0.044685,0.038368,0.036065,0.03969,0.046712
0.044685,0.038368,0.036065,0.03969,0.046712,0.040456
0.038368,0.036065,0.03969,0.046712,0.040456,0.043394
0.036065,0.03969,0.046712,0.040456,0.043394,0.040885
0.03969,0.046712,0.040456,0.043394,0.040885,0.049552
0.046712,0.040456,0.043394,0.040885,0.049552,0.040604
0.040456,0.043394,0.040885,0.049552,0.040604,0.041569
